timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2020-12-27T00:00:00.000Z";"2020-12-27T23:59:59.999Z";"2020-12-27T15:19:08.000Z";"2020-12-27T12:13:07.000Z";"2781";33.47984541;34.85247806;32.08786404;33.51184727;567285548.22;4839330613.845353;"2020-12-27T23:59:59.999Z"
"2020-12-26T00:00:00.000Z";"2020-12-26T23:59:59.999Z";"2020-12-26T21:50:11.000Z";"2020-12-26T11:19:07.000Z";"2781";33.17020178;33.94531715;32.60174455;33.4771392;434464850.76;4834318541.290771;"2020-12-26T23:59:59.999Z"
"2020-12-25T00:00:00.000Z";"2020-12-25T23:59:59.999Z";"2020-12-25T12:21:07.000Z";"2020-12-25T17:02:07.000Z";"2781";32.48890296;33.43528151;31.86425409;33.16497423;421026462.47;4789239870.850833;"2020-12-25T23:59:59.999Z"
"2020-12-24T00:00:00.000Z";"2020-12-24T23:59:59.999Z";"2020-12-24T23:19:07.000Z";"2020-12-24T00:46:07.000Z";"2781";31.1141081;32.70521507;30.45580786;32.50059333;488263503.63;4693298909.310757;"2020-12-24T23:59:59.999Z"
"2020-12-23T00:00:00.000Z";"2020-12-23T23:59:59.999Z";"2020-12-23T01:34:07.000Z";"2020-12-23T22:25:11.000Z";"2781";33.47770728;34.38152093;30.07429491;31.09789872;582613805.17;4490740604.675258;"2020-12-23T23:59:59.999Z"
"2020-12-22T00:00:00.000Z";"2020-12-22T23:59:59.999Z";"2020-12-22T15:52:07.000Z";"2020-12-22T08:35:08.000Z";"2781";32.2047922;33.75624479;30.59292535;33.48294761;563925549.09;4835157312.975637;"2020-12-22T23:59:59.999Z"
"2020-12-21T00:00:00.000Z";"2020-12-21T23:59:59.999Z";"2020-12-21T03:19:07.000Z";"2020-12-21T12:17:07.000Z";"2781";34.20123469;35.56341288;31.64373259;32.26952771;583000547.1;4659931518.102932;"2020-12-21T23:59:59.999Z"
"2020-12-20T00:00:00.000Z";"2020-12-20T23:59:59.999Z";"2020-12-20T14:29:07.000Z";"2020-12-20T00:32:07.000Z";"2781";33.29351834;35.54381072;32.67152773;34.16029635;583559932.35;4932970915.739802;"2020-12-20T23:59:59.999Z"
"2020-12-19T00:00:00.000Z";"2020-12-19T23:59:59.999Z";"2020-12-19T17:49:07.000Z";"2020-12-19T00:04:06.000Z";"2781";30.94263456;34.16542714;30.94062233;33.2963554;534843838.84;4808212174.239729;"2020-12-19T23:59:59.999Z"
"2020-12-18T00:00:00.000Z";"2020-12-18T23:59:59.999Z";"2020-12-18T10:22:07.000Z";"2020-12-18T00:29:07.000Z";"2781";30.18397921;31.17921049;29.70016941;30.93835975;359055461.13;4467702131.77259;"2020-12-18T23:59:59.999Z"
"2020-12-17T00:00:00.000Z";"2020-12-17T23:59:59.999Z";"2020-12-17T10:35:09.000Z";"2020-12-17T21:32:07.000Z";"2781";30.49361364;31.45274833;29.83370126;30.1841335;479985920.44;4358786912.009864;"2020-12-17T23:59:59.999Z"
"2020-12-16T00:00:00.000Z";"2020-12-16T23:59:59.999Z";"2020-12-16T22:57:07.000Z";"2020-12-16T08:40:08.000Z";"2781";29.54994723;30.59629937;29.0647624;30.49019426;347039607.07;4402984094.6122465;"2020-12-16T23:59:59.999Z"
"2020-12-15T00:00:00.000Z";"2020-12-15T23:59:59.999Z";"2020-12-15T01:01:07.000Z";"2020-12-15T22:05:11.000Z";"2781";30.02698961;30.296968;29.3809862;29.54728368;294288115.28;4266821619.623901;"2020-12-15T23:59:59.999Z"
"2020-12-14T00:00:00.000Z";"2020-12-14T23:59:59.999Z";"2020-12-14T22:42:07.000Z";"2020-12-14T07:21:07.000Z";"2781";29.10685967;30.17433687;28.69362187;30.02957848;335453985.98;4336468153.843549;"2020-12-14T23:59:59.999Z"
"2020-12-13T00:00:00.000Z";"2020-12-13T23:59:59.999Z";"2020-12-13T17:13:07.000Z";"2020-12-13T04:16:07.000Z";"2781";28.16547706;29.2513724;28.06197444;29.10169187;265728019.63;4202475238.8536973;"2020-12-13T23:59:59.999Z"
"2020-12-12T00:00:00.000Z";"2020-12-12T23:59:59.999Z";"2020-12-12T22:59:07.000Z";"2020-12-12T00:03:07.000Z";"2781";27.35827081;28.24186395;27.32848915;28.16445065;238973887.11;4067131458.549537;"2020-12-12T23:59:59.999Z"
"2020-12-11T00:00:00.000Z";"2020-12-11T23:59:59.999Z";"2020-12-11T00:02:06.000Z";"2020-12-11T11:40:09.000Z";"2781";27.6971213;27.74111883;26.76522624;27.36100351;278060132.18;3951108419.3336425;"2020-12-11T23:59:59.999Z"
"2020-12-10T00:00:00.000Z";"2020-12-10T23:59:59.999Z";"2020-12-10T00:49:07.000Z";"2020-12-10T15:16:07.000Z";"2781";28.13152143;28.23804973;27.43250658;27.69619012;263890749.87;3999511565.0234385;"2020-12-10T23:59:59.999Z"
"2020-12-09T00:00:00.000Z";"2020-12-09T23:59:59.999Z";"2020-12-09T22:17:07.000Z";"2020-12-09T08:39:06.000Z";"2781";27.63660667;28.3788379;26.99604501;28.1293041;323390503.72;4062056065.459138;"2020-12-09T23:59:59.999Z"
"2020-12-08T00:00:00.000Z";"2020-12-08T23:59:59.999Z";"2020-12-08T00:43:06.000Z";"2020-12-08T23:16:07.000Z";"2781";29.38087478;29.48814075;27.51166497;27.6363057;323672205.52;3990863861.965324;"2020-12-08T23:59:59.999Z"
"2020-12-07T00:00:00.000Z";"2020-12-07T23:59:59.999Z";"2020-12-07T00:31:07.000Z";"2020-12-07T18:49:06.000Z";"2781";29.53038224;29.65660097;29.09027429;29.37813565;238972453.96;4242395534.3263164;"2020-12-07T23:59:59.999Z"
"2020-12-06T00:00:00.000Z";"2020-12-06T23:59:59.999Z";"2020-12-06T01:22:06.000Z";"2020-12-06T13:49:06.000Z";"2781";29.72870598;30.1336466;29.09603129;29.54080394;249993855.49;4265885902.98676;"2020-12-06T23:59:59.999Z"
